sample_id,prompt,eval_name,mode,alpha,beta,candidate_pool,disable_gating,router_category,selection_group,selection_reason,classifier_model,classifier_raw_response,classifier_error,selected_model,selected_service,selected_tier,selected_advanced,router_similarity,router_capability_normalized,router_cost_normalized,router_internal_reward,router_category_boost,router_estimated_cost,router_latency_ms,error,selected_benchmark_performance,selected_benchmark_cost,oracle_model,oracle_utility,router_actual_utility,regret,oracle_agreement,max_candidate_performance,task_solvable,routing_success,routing_failure,task_unsolvable,benchmark_lookup_success,benchmark_lookup_error
mbpp.dev.0,['Write a function to find the shared elements from the given two lists.'],mbpp,skill_based,1.0,0.0,all,False,code_generation,standard_model_group,standard request,katanemo/Arch-Router-1.5B,{'route': 'code_generation'},,gpt-3.5-turbo-1106,OpenAI,standard,False,0.351071,1.0,0.066872,1.0,0.02,0.002067,2643.45200000389,,1.0,0.000386,WizardLM/WizardLM-13B-V1.2,1.0,1.0,0.0,False,1.0,True,True,False,False,True,
mbpp.dev.1,['Write a python function to identify non-prime numbers.'],mbpp,skill_based,1.0,0.0,all,False,code_generation,advanced_model_group,advanced semantic match or complex request,katanemo/Arch-Router-1.5B,{'route': 'code_generation'},,gpt-4-1106-preview,OpenAI,advanced,True,0.28942,1.0,1.0,1.0,0.03,0.03087,2510.035917002824,,0.0,0.01091,mistralai/mistral-7b-chat,1.0,0.0,1.0,False,1.0,True,False,True,False,True,
mbpp.dev.10,['Write a function to that returns true if the input string contains sequences of lowercase letters joined with an underscore and false otherwise.'],mbpp,skill_based,1.0,0.0,all,False,code_generation,standard_model_group,standard request,katanemo/Arch-Router-1.5B,{'route': 'code_generation'},,gpt-3.5-turbo-1106,OpenAI,standard,False,0.325185,0.990486,0.067063,0.990486,0.02,0.002085,3327.994083010708,,0.0,0.000464,WizardLM/WizardLM-13B-V1.2,1.0,1.0,0.0,False,0.0,False,False,False,True,True,
mbpp.dev.100,['Write a function to find the sum of numbers in a list within a range specified by two indices.'],mbpp,skill_based,1.0,0.0,all,False,code_generation,standard_model_group,standard request,katanemo/Arch-Router-1.5B,{'route': 'code_generation'},,gpt-3.5-turbo-1106,OpenAI,standard,False,0.43277,1.0,0.066936,1.0,0.02,0.002073,3411.7697500041686,,1.0,0.000444,mistralai/mistral-7b-chat,1.0,1.0,0.0,False,1.0,True,True,False,False,True,
mbpp.dev.101,['Write a function to find the perimeter of a regular pentagon from the length of its sides.'],mbpp,skill_based,1.0,0.0,all,False,code_generation,advanced_model_group,advanced semantic match or complex request,katanemo/Arch-Router-1.5B,{'route': 'code_generation'},,gpt-4-1106-preview,OpenAI,advanced,True,0.389827,1.0,1.0,1.0,0.03,0.03096,3040.5029579997063,,1.0,0.00649,WizardLM/WizardLM-13B-V1.2,1.0,1.0,0.0,False,1.0,True,True,False,False,True,
mbpp.dev.102,"[""Write a function to count the number of occurence of the string 'std' in a given string.""]",mbpp,skill_based,1.0,0.0,all,False,code_generation,standard_model_group,standard request,katanemo/Arch-Router-1.5B,{'route': 'code_generation'},,gpt-3.5-turbo-1106,OpenAI,standard,False,0.34689,1.0,0.066914,1.0,0.02,0.002071,2515.9544999914942,,1.0,0.000299,zero-one-ai/Yi-34B-Chat,1.0,1.0,0.0,False,1.0,True,True,False,False,True,
mbpp.dev.103,['Write a function to check if all the elements in tuple have same data type or not.'],mbpp,skill_based,1.0,0.0,all,False,code_generation,standard_model_group,standard request,katanemo/Arch-Router-1.5B,{'route': 'code_generation'},,gpt-3.5-turbo-1106,OpenAI,standard,False,0.295561,1.0,0.066904,1.0,0.02,0.00207,2712.69833399856,,1.0,0.000348,meta/code-llama-instruct-34b-chat,1.0,1.0,0.0,False,1.0,True,True,False,False,True,
mbpp.dev.104,"['Write a function that takes in a sorted array, its length (n), and an element and returns whether the element is the majority element in the given sorted array. (The majority element is the element that occurs more than n/2 times.)']",mbpp,skill_based,1.0,0.0,all,False,code_generation,advanced_model_group,advanced semantic match or complex request,katanemo/Arch-Router-1.5B,{'route': 'code_generation'},,gpt-4-1106-preview,OpenAI,advanced,True,0.366639,1.0,1.0,1.0,0.03,0.03131,2779.866500000935,,1.0,0.01438,mistralai/mistral-7b-chat,1.0,1.0,0.0,False,1.0,True,True,False,False,True,
mbpp.dev.105,['Write a python function to count the number of set bits (binary digits with value 1) in a given number.'],mbpp,skill_based,1.0,0.0,all,False,code_generation,advanced_model_group,advanced semantic match or complex request,katanemo/Arch-Router-1.5B,{'route': 'code_generation'},,meta/code-llama-instruct-34b-chat,Self-hosted / Cloud hosting providers,advanced,True,0.424252,1.0,0.0,1.0,0.03,0.0,2495.3364999964833,,1.0,0.0001944,mistralai/mistral-7b-chat,1.0,1.0,0.0,False,1.0,True,True,False,False,True,
mbpp.dev.106,['Write a python function to remove the characters which have odd index values of a given string.'],mbpp,skill_based,1.0,0.0,all,False,code_generation,standard_model_group,standard request,katanemo/Arch-Router-1.5B,{'route': 'code_generation'},,gpt-3.5-turbo-1106,OpenAI,standard,False,0.278575,1.0,0.066936,1.0,0.02,0.002073,3546.172290996765,,1.0,0.000236,mistralai/mistral-7b-chat,1.0,1.0,0.0,False,1.0,True,True,False,False,True,
