sample_id,prompt,eval_name,mode,alpha,beta,candidate_pool,disable_gating,router_category,selection_group,selection_reason,classifier_model,classifier_raw_response,classifier_error,selected_model,selected_service,selected_tier,selected_advanced,router_similarity,router_capability_normalized,router_cost_normalized,router_internal_reward,router_category_boost,router_estimated_cost,router_latency_ms,error,selected_benchmark_performance,selected_benchmark_cost,oracle_model,oracle_utility,router_actual_utility,regret,oracle_agreement,max_candidate_performance,task_solvable,routing_success,routing_failure,task_unsolvable,benchmark_lookup_success,benchmark_lookup_error
mbpp.dev.0,['Write a function to find the shared elements from the given two lists.'],mbpp,cost_efficient,0.2,0.8,all,False,code_generation,standard_model_group,standard request,katanemo/Arch-Router-1.5B,{'route': 'code_generation'},,gpt-3.5-turbo-1106,OpenAI,standard,False,0.351071,1.0,0.066872,0.146503,0.02,0.002067,802.8477079933509,,1.0,0.000386,WizardLM/WizardLM-13B-V1.2,1.0,0.96732517,0.03267483,False,1.0,True,True,False,False,True,
mbpp.dev.1,['Write a python function to identify non-prime numbers.'],mbpp,cost_efficient,0.2,0.8,all,False,code_generation,standard_model_group,standard request,katanemo/Arch-Router-1.5B,{'route': 'code_generation'},,gpt-3.5-turbo-1106,OpenAI,standard,False,0.289442,0.853623,0.066829,0.117262,0.02,0.002063,1757.1888750098879,,1.0,0.000423,mistralai/mistral-7b-chat,0.99902914,0.97131562,0.02771352,False,1.0,True,True,False,False,True,
mbpp.dev.10,['Write a function to that returns true if the input string contains sequences of lowercase letters joined with an underscore and false otherwise.'],mbpp,cost_efficient,0.2,0.8,all,False,code_generation,standard_model_group,standard request,katanemo/Arch-Router-1.5B,{'route': 'code_generation'},,WizardLM/WizardLM-13B-V1.2,Self-hosted / Hugging Face,standard,False,0.30878,0.900565,0.0,0.180113,0.03,0.0,1917.6432920066873,,0.0,3.66e-05,WizardLM/WizardLM-13B-V1.2,1.0,1.0,0.0,True,0.0,False,False,False,True,True,
mbpp.dev.100,['Write a function to find the sum of numbers in a list within a range specified by two indices.'],mbpp,cost_efficient,0.2,0.8,all,False,code_generation,standard_model_group,standard request,katanemo/Arch-Router-1.5B,{'route': 'code_generation'},,gpt-3.5-turbo-1106,OpenAI,standard,False,0.43277,1.0,0.066936,0.146451,0.02,0.002073,1905.63233399007,,1.0,0.000444,mistralai/mistral-7b-chat,1.0,0.97457358,0.02542642,False,1.0,True,True,False,False,True,
mbpp.dev.101,['Write a function to find the perimeter of a regular pentagon from the length of its sides.'],mbpp,cost_efficient,0.2,0.8,all,False,code_generation,standard_model_group,standard request,katanemo/Arch-Router-1.5B,{'route': 'code_generation'},,WizardLM/WizardLM-13B-V1.2,Self-hosted / Hugging Face,standard,False,0.360607,0.713814,0.0,0.142763,0.03,0.0,2429.0769590006676,,1.0,3.92e-05,WizardLM/WizardLM-13B-V1.2,1.0,1.0,0.0,True,1.0,True,True,False,False,True,
mbpp.dev.102,"[""Write a function to count the number of occurence of the string 'std' in a given string.""]",mbpp,cost_efficient,0.2,0.8,all,False,code_generation,standard_model_group,standard request,katanemo/Arch-Router-1.5B,{'route': 'code_generation'},,gpt-3.5-turbo-1106,OpenAI,standard,False,0.34689,1.0,0.066914,0.146468,0.02,0.002071,2601.309792007669,,1.0,0.000299,zero-one-ai/Yi-34B-Chat,0.99264347,0.96132568,0.03131779,False,1.0,True,True,False,False,True,
mbpp.dev.103,['Write a function to check if all the elements in tuple have same data type or not.'],mbpp,cost_efficient,0.2,0.8,all,False,code_generation,standard_model_group,standard request,katanemo/Arch-Router-1.5B,{'route': 'code_generation'},,gpt-3.5-turbo-1106,OpenAI,standard,False,0.295561,1.0,0.066904,0.146477,0.02,0.00207,2496.835583995562,,1.0,0.000348,meta/code-llama-instruct-34b-chat,0.99170032,0.97018694,0.02151338,False,1.0,True,True,False,False,True,
mbpp.dev.104,"['Write a function that takes in a sorted array, its length (n), and an element and returns whether the element is the majority element in the given sorted array. (The majority element is the element that occurs more than n/2 times.)']",mbpp,cost_efficient,0.2,0.8,all,False,code_generation,standard_model_group,standard request,katanemo/Arch-Router-1.5B,{'route': 'code_generation'},,gpt-3.5-turbo-1106,OpenAI,standard,False,0.36111,0.795663,0.067295,0.105297,0.02,0.002107,2921.487832994899,,1.0,0.000387,mistralai/mistral-7b-chat,1.0,0.98051093,0.01948907,False,1.0,True,True,False,False,True,
mbpp.dev.105,['Write a python function to count the number of set bits (binary digits with value 1) in a given number.'],mbpp,cost_efficient,0.2,0.8,all,False,code_generation,standard_model_group,standard request,katanemo/Arch-Router-1.5B,{'route': 'code_generation'},,mistralai/mistral-7b-chat,Self-hosted / Hugging Face / Cloud hosting providers,standard,False,0.393013,0.409599,0.0,0.08192,0.02,0.0,2860.6995410082163,,1.0,6.18e-05,mistralai/mistral-7b-chat,1.0,1.0,0.0,True,1.0,True,True,False,False,True,
mbpp.dev.106,['Write a python function to remove the characters which have odd index values of a given string.'],mbpp,cost_efficient,0.2,0.8,all,False,code_generation,standard_model_group,standard request,katanemo/Arch-Router-1.5B,{'route': 'code_generation'},,WizardLM/WizardLM-13B-V1.2,Self-hosted / Hugging Face,standard,False,0.252781,0.765547,0.0,0.153109,0.03,0.0,3451.366166002117,,1.0,4.48e-05,mistralai/mistral-7b-chat,1.0,0.99929541,0.00070459,False,1.0,True,True,False,False,True,
mbpp.dev.107,['Write a function to find minimum of three numbers.'],mbpp,cost_efficient,0.2,0.8,all,False,code_generation,standard_model_group,standard request,katanemo/Arch-Router-1.5B,{'route': 'code_generation'},,WizardLM/WizardLM-13B-V1.2,Self-hosted / Hugging Face,standard,False,0.399469,0.697673,0.0,0.139535,0.03,0.0,2932.7214999939315,,1.0,5.7600000000000004e-05,WizardLM/WizardLM-13B-V1.2,0.99884414,0.99884414,0.0,True,1.0,True,True,False,False,True,
mbpp.dev.108,['Write a python function to check whether all the bits are unset in the given range or not.'],mbpp,cost_efficient,0.2,0.8,all,False,code_generation,standard_model_group,standard request,katanemo/Arch-Router-1.5B,{'route': 'code_generation'},,WizardLM/WizardLM-13B-V1.2,Self-hosted / Hugging Face,standard,False,0.312607,0.465437,0.0,0.093087,0.03,0.0,4180.351375005557,,0.0,5.76e-05,mistralai/mixtral-8x7b-chat,0.98700321,0.8,0.18700321,False,1.0,True,False,True,False,True,
mbpp.dev.109,"['Write a function that takes in an array and an integer n, and re-arranges the first n elements of the given array so that all negative elements appear before positive ones, and where the relative order among negative and positive elements is preserved.']",mbpp,cost_efficient,0.2,0.8,all,False,code_generation,standard_model_group,standard request,katanemo/Arch-Router-1.5B,{'route': 'code_generation'},,mistralai/mistral-7b-chat,Self-hosted / Hugging Face / Cloud hosting providers,standard,False,0.283305,0.753355,0.0,0.150671,0.02,0.0,4655.537958999048,,0.0,6.04e-05,gpt-3.5-turbo-1106,0.97662109,0.79977491,0.17684618,False,1.0,True,False,True,False,True,
