index,sample_id,prompt,eval_name,performance,model_response,model_name,cost
50330,mbpp.dev.0,['Write a function to find the shared elements from the given two lists.'],mbpp,1.0,"['Here is a function to find the shared elements from two lists:\n```python\ndef shared_elements(list1, list2):\n    shared = []\n    for e in list1:\n        if e in list2:\n            shared.append(e)\n    return shared\n```\n\nIt iterates through each element in the first list. \nIf that element is also found in the second list, \nit is appended to the shared list which is returned at the end.\n\nUsage:\n```python\nlist1 = [1, 2, 3, 4]\nlist2 = [2, 4, 5]\n\nshared = shared_elements(list1, list2)\n\nprint(shared)\n# [2, 4]\n```\n\nTime complexity: O(n*m) where n and m are the lengths of the two lists.\nSpace complexity: O(1) since we are only using the shared list of constant size.\n\nHope this helps! Let me know if you have any other questions.']",claude-instant-v1,0.0011114
50331,mbpp.dev.1,['Write a python function to identify non-prime numbers.'],mbpp,1.0,"['Here is a Python function to identify non-prime numbers:\n\n```python\ndef identify_non_primes(n):\n    for i in range(2, n):\n        if n % i == 0:\n            return True\n    return False\n```\n\nThis function checks if the number `n` is divisible by any number from 2 to n-1. If it is divisible, then it is not a prime number and the function returns True. Otherwise, it returns False.\n\nYou can call the function like this:\n```python\nidentify_non_primes(6) # Returns True \nidentify_non_primes(7) # Returns False\n```\n\nHope this helps! Let me know if you have any other questions.']",claude-instant-v1,0.0008206
50332,mbpp.dev.10,['Write a function to that returns true if the input string contains sequences of lowercase letters joined with an underscore and false otherwise.'],mbpp,0.0,"['def check_string(input_string):\n    if ""_"" not in input_string:\n        return False\n    for char in input_string:\n        if not char.islower() and char != ""_"":\n            return False  \n    return True']",claude-instant-v1,0.0002804
50333,mbpp.dev.100,['Write a function to find the sum of numbers in a list within a range specified by two indices.'],mbpp,1.0,"['Here is a function to find the sum of numbers in a list within a range specified by two indices:\n\n```python\ndef sum_range(nums, start, end):\n    total = 0\n    for i in range(start, end+1):\n        total += nums[i]\n    return total\n```\n\nUsage:\n```python\nnums = [1, 2, 3, 4, 5]\nprint(sum_range(nums, 1, 3))\n# Prints 10 (2 + 3 + 4 + 1)\n```\n\nThis works by:\n\n- Taking the list of numbers `nums` and the start and end indices `start` and `end`\n- Initializing a total sum to `0` \n- Looping from the `start` index up to and including the `end` index \n- Adding the number at the current index `nums[i]` to the total \n- Returning the total sum after the loop.\n\nHope this helps! Let me know if you have any other questions.']",claude-instant-v1,0.001176
50334,mbpp.dev.101,['Write a function to find the perimeter of a regular pentagon from the length of its sides.'],mbpp,1.0,"['Here is a function to calculate the perimeter of a regular pentagon given the length of its sides:\n\n```python\ndef pentagon_perimeter(side_length):\n    number_of_sides = 5\n    return number_of_sides * side_length\n```\n\nSince a regular pentagon has 5 equal sides, the perimeter is simply the length of one side multiplied by 5.\n\nSo if the length of each side is 10 units, the perimeter would be:\n\n```python\npentagon_perimeter(10)\n# Returns 50\n```\n\nHope this helps! Let me know if you have any other questions.']",claude-instant-v1,0.0007179
50335,mbpp.dev.102,"[""Write a function to count the number of occurence of the string 'std' in a given string.""]",mbpp,0.0,"['Here is a function to count the number of \'std\' occurrences in a string:\n\n```python\ndef count_std(text):\n    count = 0\n    while text.find(""std"") != -1:\n        count += 1\n        text = text[text.find(""std"") + 3:]  \n    return count\n```\n\nIt works by:\n\n1. Initializing a count to 0 \n2. Finding the first occurrence of \'std\' using `text.find(""std"")`\n3. If found, incrementing the count and slicing the text from the index after \'std\' \n4. Repeating steps 2 and 3 while `text.find(""std"") != -1` \n5. Returning the final count\n\nExample:\n```python\ntext = ""std is a standard library in C++""\ncount = count_std(text)\nprint(count) # Prints 2\n```\n\nHope this helps! Let me know if you have any other questions.']",claude-instant-v1,0.0011116
50336,mbpp.dev.103,['Write a function to check if all the elements in tuple have same data type or not.'],mbpp,1.0,"['Here is a function to check if all elements in a tuple have the same data type:\n\n```python\ndef check_same_type(tup):\n    first_type = type(tup[0])\n    for elem in tup:\n        if type(elem) != first_type:\n            return False\n    return True\n```\n\nIt works by:\n\n- Getting the data type of the first element using `type(tup[0])`\n- Iterating through the rest of the elements using `for elem in tup:`\n- Checking if the data type of the current element `type(elem)` matches the first data type `first_type`\n- If a mismatch is found, it immediately returns `False`\n- If all elements have the same type, it returns `True` at the end\n\nYou can use it like this:\n\n```python\ncheck_same_type((1, 2, 3))  # Returns True\ncheck_same_type((1, 2, ""3"")) # Returns False\ncheck_same_type((""a"", ""b"", ""c"")) # Returns True\n```\n\nHope this helps! Let me know if you have any other questions.']",claude-instant-v1,0.0012993
50337,mbpp.dev.104,"['Write a function that takes in a sorted array, its length (n), and an element and returns whether the element is the majority element in the given sorted array. (The majority element is the element that occurs more than n/2 times.)']",mbpp,1.0,"['def majorityElement(nums, n, element):\n    count = 0\n    for num in nums:\n        if num == element:\n            count += 1\n    if count > n/2:\n        return True\n    return False\n\nTime complexity: O(n) as we traverse the array once.\nSpace complexity: O(1) as we use constant space.']",claude-instant-v1,0.0004909
50338,mbpp.dev.105,['Write a python function to count the number of set bits (binary digits with value 1) in a given number.'],mbpp,1.0,"['Here is a Python function to count the number of set bits in a given number:\n```python\ndef count_set_bits(n):\n    count = 0\n    while n:\n        count += n & 1\n        n >>= 1\n    return count\n```\n\nIt works as follows:\n\n- While the number n is not 0:\n- Get the least significant bit using n & 1. This will be 1 if that bit is set, 0 otherwise. \n- Add that to the count \n- Right shift n by 1, to remove the least significant bit that we just checked.\n- Return the final count\n\nExample:\n```python\nprint(count_set_bits(11))  # Prints 3\nprint(count_set_bits(16))  # Prints 1\n```\n\nTime complexity: O(number of bits in n), since we iterate through each bit of n.\nSpace complexity: O(1), since we only use constant space.\n\nHope this helps! Let me know if you have any other questions.']",claude-instant-v1,0.0011989
50339,mbpp.dev.106,['Write a python function to remove the characters which have odd index values of a given string.'],mbpp,1.0,"['Here is a python function to remove characters with odd index values from a string:\n\n```python\ndef remove_odd_indexes(string):\n    result = """"\n    for i in range(len(string)):\n        if i % 2 == 0: \n            result += string[i]  \n    return result\n```\n\nWe iterate through each character in the string using a for loop. \nWe use i % 2 == 0 to check if the index i is even. \nIf so, we append that character to the result.\nFinally we return the result string with only even index characters.\n\nExample:\n```python\nstring = ""Hello""\nresult = remove_odd_indexes(string)\nprint(result)\n# Hlo\n```\n\nHope this helps! Let me know if you have any other questions.']",claude-instant-v1,0.0008923
