sample_id,prompt,eval_name,mode,alpha,beta,candidate_pool,disable_gating,router_category,selection_group,selection_reason,classifier_model,classifier_raw_response,classifier_error,selected_model,selected_service,selected_tier,selected_advanced,router_similarity,router_capability_normalized,router_cost_normalized,router_internal_reward,router_category_boost,router_estimated_cost,router_latency_ms,error,selected_benchmark_performance,selected_benchmark_cost,oracle_model,oracle_utility,router_actual_utility,regret,oracle_agreement,max_candidate_performance,task_solvable,routing_success,routing_failure,task_unsolvable,benchmark_lookup_success,benchmark_lookup_error
mbpp.dev.0,['Write a function to find the shared elements from the given two lists.'],mbpp,mixed,0.65,0.35,all,False,code_generation,standard_model_group,standard request,katanemo/Arch-Router-1.5B,{'route': 'code_generation'},,gpt-3.5-turbo-1106,OpenAI,standard,False,0.351071,1.0,0.066872,0.626595,0.02,0.002067,1883.3835830009775,,1.0,0.000386,WizardLM/WizardLM-13B-V1.2,1.0,0.98570476,0.01429524,False,1.0,True,True,False,False,True,
mbpp.dev.1,['Write a python function to identify non-prime numbers.'],mbpp,mixed,0.65,0.35,all,False,code_generation,standard_model_group,standard request,katanemo/Arch-Router-1.5B,{'route': 'code_generation'},,gpt-3.5-turbo-1106,OpenAI,standard,False,0.289442,0.853623,0.066829,0.531465,0.02,0.002063,2324.8308329930296,,1.0,0.000423,mistralai/mistral-7b-chat,0.99957525,0.98745058,0.01212467,False,1.0,True,True,False,False,True,
mbpp.dev.10,['Write a function to that returns true if the input string contains sequences of lowercase letters joined with an underscore and false otherwise.'],mbpp,mixed,0.65,0.35,all,False,code_generation,standard_model_group,standard request,katanemo/Arch-Router-1.5B,{'route': 'code_generation'},,gpt-3.5-turbo-1106,OpenAI,standard,False,0.325185,0.990486,0.067063,0.620344,0.02,0.002085,2134.2937080044067,,0.0,0.000464,WizardLM/WizardLM-13B-V1.2,1.0,0.98536788,0.01463212,False,0.0,False,False,False,True,True,
mbpp.dev.100,['Write a function to find the sum of numbers in a list within a range specified by two indices.'],mbpp,mixed,0.65,0.35,all,False,code_generation,standard_model_group,standard request,katanemo/Arch-Router-1.5B,{'route': 'code_generation'},,gpt-3.5-turbo-1106,OpenAI,standard,False,0.43277,1.0,0.066936,0.626572,0.02,0.002073,2397.4705830041785,,1.0,0.000444,mistralai/mistral-7b-chat,1.0,0.98887594,0.01112406,False,1.0,True,True,False,False,True,
mbpp.dev.101,['Write a function to find the perimeter of a regular pentagon from the length of its sides.'],mbpp,mixed,0.65,0.35,all,False,code_generation,standard_model_group,standard request,katanemo/Arch-Router-1.5B,{'route': 'code_generation'},,gpt-3.5-turbo-1106,OpenAI,standard,False,0.379488,0.800798,0.066925,0.497095,0.02,0.002072,2466.6500000021188,,1.0,0.000161,WizardLM/WizardLM-13B-V1.2,1.0,0.99339152,0.00660848,False,1.0,True,True,False,False,True,
mbpp.dev.102,"[""Write a function to count the number of occurence of the string 'std' in a given string.""]",mbpp,mixed,0.65,0.35,all,False,code_generation,standard_model_group,standard request,katanemo/Arch-Router-1.5B,{'route': 'code_generation'},,gpt-3.5-turbo-1106,OpenAI,standard,False,0.34689,1.0,0.066914,0.62658,0.02,0.002071,2566.871874994831,,1.0,0.000299,zero-one-ai/Yi-34B-Chat,0.99678152,0.98307998,0.01370154,False,1.0,True,True,False,False,True,
mbpp.dev.103,['Write a function to check if all the elements in tuple have same data type or not.'],mbpp,mixed,0.65,0.35,all,False,code_generation,standard_model_group,standard request,katanemo/Arch-Router-1.5B,{'route': 'code_generation'},,gpt-3.5-turbo-1106,OpenAI,standard,False,0.295561,1.0,0.066904,0.626584,0.02,0.00207,2309.6695830026874,,1.0,0.000348,meta/code-llama-instruct-34b-chat,0.99636889,0.98695678,0.00941211,False,1.0,True,True,False,False,True,
mbpp.dev.104,"['Write a function that takes in a sorted array, its length (n), and an element and returns whether the element is the majority element in the given sorted array. (The majority element is the element that occurs more than n/2 times.)']",mbpp,mixed,0.65,0.35,all,False,code_generation,standard_model_group,standard request,katanemo/Arch-Router-1.5B,{'route': 'code_generation'},,gpt-3.5-turbo-1106,OpenAI,standard,False,0.36111,0.795663,0.067295,0.493628,0.02,0.002107,2522.2847910044948,,1.0,0.000387,mistralai/mistral-7b-chat,1.0,0.99147353,0.00852647,False,1.0,True,True,False,False,True,
mbpp.dev.105,['Write a python function to count the number of set bits (binary digits with value 1) in a given number.'],mbpp,mixed,0.65,0.35,all,False,code_generation,standard_model_group,standard request,katanemo/Arch-Router-1.5B,{'route': 'code_generation'},,gpt-3.5-turbo-1106,OpenAI,standard,False,0.409899,0.651341,0.066957,0.399936,0.02,0.002075,2623.2924579962855,,1.0,0.000438,mistralai/mistral-7b-chat,1.0,0.98526885,0.01473115,False,1.0,True,True,False,False,True,
mbpp.dev.106,['Write a python function to remove the characters which have odd index values of a given string.'],mbpp,mixed,0.65,0.35,all,False,code_generation,standard_model_group,standard request,katanemo/Arch-Router-1.5B,{'route': 'code_generation'},,gpt-3.5-turbo-1106,OpenAI,standard,False,0.278575,1.0,0.066936,0.626572,0.02,0.002073,2668.9449999976205,,1.0,0.000236,mistralai/mistral-7b-chat,1.0,0.98741284,0.01258716,False,1.0,True,True,False,False,True,
